,Position,Track Name,Artist,Streams,URL,rank,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
71,72,Big Shot (with Travis Scott),Kendrick Lamar,6903157,https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7,21,0.00763,https://api.spotify.com/v1/audio-analysis/5cXg9IQS34FzLVdHhp7hu7,0.8540000000000001,221827,0.484,5cXg9IQS34FzLVdHhp7hu7,0.0,1,0.09699999999999999,-9.054,1,0.213,130.08700000000002,4,https://api.spotify.com/v1/tracks/5cXg9IQS34FzLVdHhp7hu7,audio_features,spotify:track:5cXg9IQS34FzLVdHhp7hu7,0.302
72,73,Bum Bum Tam Tam,MC Fioti,6898051,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr,22,0.34600000000000003,https://api.spotify.com/v1/audio-analysis/6k2900NjJeVqZM55G3Danu,0.8959999999999999,213989,0.675,6k2900NjJeVqZM55G3Danu,8.11e-06,1,0.262,-3.908,1,0.124,131.999,4,https://api.spotify.com/v1/tracks/6k2900NjJeVqZM55G3Danu,audio_features,spotify:track:6k2900NjJeVqZM55G3Danu,0.659
73,74,Believer,Imagine Dragons,6839256,https://open.spotify.com/track/1NtIMM4N0cFa1dNzN15chl,23,0.0512,https://api.spotify.com/v1/audio-analysis/1NtIMM4N0cFa1dNzN15chl,0.772,204347,0.78,1NtIMM4N0cFa1dNzN15chl,0.0,10,0.11900000000000001,-4.288,0,0.10800000000000001,124.988,4,https://api.spotify.com/v1/tracks/1NtIMM4N0cFa1dNzN15chl,audio_features,spotify:track:1NtIMM4N0cFa1dNzN15chl,0.7190000000000001
74,75,Solita,Ozuna,6811201,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E,24,0.0564,https://api.spotify.com/v1/audio-analysis/7rwX0O3RlxqqIjQM8evm5E,0.807,311726,0.633,7rwX0O3RlxqqIjQM8evm5E,0.0,10,0.107,-6.016,0,0.0929,138.03799999999998,4,https://api.spotify.com/v1/tracks/7rwX0O3RlxqqIjQM8evm5E,audio_features,spotify:track:7rwX0O3RlxqqIjQM8evm5E,0.325
75,76,Unforgettable,French Montana,6805292,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,25,0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6,0.10400000000000001,-5.043,1,0.12300000000000001,97.985,4,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
76,77,Me Rehúso,Danny Ocean,6777802,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl,26,0.0231,https://api.spotify.com/v1/audio-analysis/6De0lHrwBfPfrhorm9q1Xl,0.7440000000000001,205715,0.804,6De0lHrwBfPfrhorm9q1Xl,0.0,1,0.0494,-6.327000000000001,1,0.0677,104.823,4,https://api.spotify.com/v1/tracks/6De0lHrwBfPfrhorm9q1Xl,audio_features,spotify:track:6De0lHrwBfPfrhorm9q1Xl,0.426
77,78,Se Preparó,Ozuna,6764678,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,27,0.222,https://api.spotify.com/v1/audio-analysis/1m69ELEgE6k5ZWsap40ozt,0.7390000000000001,188080,0.821,1m69ELEgE6k5ZWsap40ozt,9.6e-06,1,0.311,-4.2330000000000005,1,0.0852,171.077,4,https://api.spotify.com/v1/tracks/1m69ELEgE6k5ZWsap40ozt,audio_features,spotify:track:1m69ELEgE6k5ZWsap40ozt,0.693
78,79,Dembow,Danny Ocean,6719957,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2,28,0.0807,https://api.spotify.com/v1/audio-analysis/2EzRdhuoPyNJDlep7lnNf2,0.802,215083,0.7440000000000001,2EzRdhuoPyNJDlep7lnNf2,0.0,6,0.0917,-5.968,1,0.078,99.98299999999999,4,https://api.spotify.com/v1/tracks/2EzRdhuoPyNJDlep7lnNf2,audio_features,spotify:track:2EzRdhuoPyNJDlep7lnNf2,0.45
79,80,Sky Walker,Miguel,6657693,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf,29,0.17300000000000001,https://api.spotify.com/v1/audio-analysis/5WoaF1B5XIEnWfmb5NZikf,0.674,259333,0.506,5WoaF1B5XIEnWfmb5NZikf,0.0,6,0.0866,-10.532,1,0.0434,145.965,4,https://api.spotify.com/v1/tracks/5WoaF1B5XIEnWfmb5NZikf,audio_features,spotify:track:5WoaF1B5XIEnWfmb5NZikf,0.183
80,81,Gucci Gang,Lil Pump,6611158,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,30,0.239,https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc,0.9359999999999999,124056,0.523,43ZyHQITOjhciSUUNPVRHc,0.0,5,0.11699999999999999,-6.71,1,0.0597,119.889,4,https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc,audio_features,spotify:track:43ZyHQITOjhciSUUNPVRHc,0.6990000000000001
81,82,Paramedic!,SOB X RBE,6602548,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA,31,0.155,https://api.spotify.com/v1/audio-analysis/2tPcTFiQF9MbVUyjZ3zDhA,0.8590000000000001,219307,0.6509999999999999,2tPcTFiQF9MbVUyjZ3zDhA,0.0,1,0.14,-5.395,1,0.124,97.053,4,https://api.spotify.com/v1/tracks/2tPcTFiQF9MbVUyjZ3zDhA,audio_features,spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,0.48700000000000004
82,83,Bank Account,21 Savage,6481844,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,32,0.0151,https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G,0.884,220307,0.34600000000000003,2fQrGHiQOvpL9UgPvtYy6G,7.04e-06,8,0.0871,-8.228,0,0.35100000000000003,75.016,4,https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G,audio_features,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,0.376
83,84,Mi Gente,J Balvin,6439251,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8,33,0.0164,https://api.spotify.com/v1/audio-analysis/4ipnJyDU3Lq15qBAYNqlqK,0.535,189440,0.6779999999999999,4ipnJyDU3Lq15qBAYNqlqK,1.31e-05,11,0.128,-4.906000000000001,0,0.0998,102.681,4,https://api.spotify.com/v1/tracks/4ipnJyDU3Lq15qBAYNqlqK,audio_features,spotify:track:4ipnJyDU3Lq15qBAYNqlqK,0.287
84,85,MotorSport,Migos,6428889,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt,34,0.0338,https://api.spotify.com/v1/audio-analysis/4wFjTWCunQFKtukqrNijEt,0.8959999999999999,303077,0.515,4wFjTWCunQFKtukqrNijEt,0.0,2,0.317,-5.395,1,0.183,138.016,4,https://api.spotify.com/v1/tracks/4wFjTWCunQFKtukqrNijEt,audio_features,spotify:track:4wFjTWCunQFKtukqrNijEt,0.174
85,86,I Like Me Better,Lauv,6303564,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,35,0.535,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.10400000000000001,-7.621,1,0.253,91.97,4,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,0.419
86,87,Pick It Up (feat. A$AP Rocky),Famous Dex,6267158,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd,36,0.0149,https://api.spotify.com/v1/audio-analysis/3ncgNpxLoBQ65ABk4djDyd,0.9209999999999999,191252,0.467,3ncgNpxLoBQ65ABk4djDyd,0.00023799999999999998,1,0.33399999999999996,-8.443,1,0.11900000000000001,135.995,4,https://api.spotify.com/v1/tracks/3ncgNpxLoBQ65ABk4djDyd,audio_features,spotify:track:3ncgNpxLoBQ65ABk4djDyd,0.287
87,88,She Loves Control,Camila Cabello,6262958,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy,37,0.166,https://api.spotify.com/v1/audio-analysis/5HwnezK198pJCEj1l2Adjy,0.65,177160,0.758,5HwnezK198pJCEj1l2Adjy,0.0,2,0.0889,-4.02,1,0.11599999999999999,94.9,4,https://api.spotify.com/v1/tracks/5HwnezK198pJCEj1l2Adjy,audio_features,spotify:track:5HwnezK198pJCEj1l2Adjy,0.6629999999999999
88,89,Attention,Charlie Puth,6215484,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,38,0.0969,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,0.774,211475,0.626,4iLqG9SeJSnt0cSPICSjxv,3.12e-05,3,0.0848,-4.4319999999999995,0,0.0432,100.041,4,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.777
89,90,All Falls Down,Alan Walker,6189494,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb,39,0.303,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,0.6579999999999999,199111,0.6779999999999999,5yFSF6qQA1rcLsQRnBsZgb,0.0,1,0.361,-4.407,1,0.057999999999999996,97.976,4,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,audio_features,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,0.662
90,91,Something Just Like This,The Chainsmokers,6163210,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,40,0.0498,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,0.617,247160,0.635,6RUKPb4LETWmmr3iAEQktW,1.4400000000000001e-05,11,0.16399999999999998,-6.769,0,0.0317,103.01899999999999,4,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.446
91,92,1-800-273-8255,Logic,6151301,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,41,0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.629,250173,0.5720000000000001,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.192,-7.733,0,0.0387,100.015,4,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.386
92,93,Say You Won't Let Go,James Arthur,6059767,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,42,0.695,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh,0.358,211467,0.557,5uCax9HTNlzGybIStD3vDh,0.0,10,0.0902,-7.398,1,0.059000000000000004,85.04299999999999,4,https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh,0.494
93,94,Plain Jane,A$AP Ferg,6039875,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,43,0.0651,https://api.spotify.com/v1/audio-analysis/4dVpf9jZjcORqGTLUaeYj9,0.797,173600,0.8440000000000001,4dVpf9jZjcORqGTLUaeYj9,0.0,11,0.087,-5.482,1,0.275,170.142,4,https://api.spotify.com/v1/tracks/4dVpf9jZjcORqGTLUaeYj9,audio_features,spotify:track:4dVpf9jZjcORqGTLUaeYj9,0.52
94,95,Quiero Repetir,Ozuna,5962532,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,44,0.10300000000000001,https://api.spotify.com/v1/audio-analysis/0MIcPSq9n2z5H8TAfEstri,0.608,200987,0.753,0MIcPSq9n2z5H8TAfEstri,0.0,0,0.0996,-4.748,0,0.368,97.626,4,https://api.spotify.com/v1/tracks/0MIcPSq9n2z5H8TAfEstri,audio_features,spotify:track:0MIcPSq9n2z5H8TAfEstri,0.48200000000000004
95,96,Mayores,Becky G,5955012,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,45,0.141,https://api.spotify.com/v1/audio-analysis/7JNh1cfm0eXjqFVOzKLyau,0.743,202453,0.855,7JNh1cfm0eXjqFVOzKLyau,0.0045,5,0.099,-3.9760000000000004,0,0.0436,96.98899999999999,4,https://api.spotify.com/v1/tracks/7JNh1cfm0eXjqFVOzKLyau,audio_features,spotify:track:7JNh1cfm0eXjqFVOzKLyau,0.871
96,97,Nowadays (feat. Landon Cube),Lil Skies,5945380,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp,46,0.157,https://api.spotify.com/v1/audio-analysis/689uBlyIufk2LUhAwjny4w,0.745,203908,0.6459999999999999,689uBlyIufk2LUhAwjny4w,0.0,6,0.33799999999999997,-6.987,0,0.17,79.993,4,https://api.spotify.com/v1/tracks/689uBlyIufk2LUhAwjny4w,audio_features,spotify:track:689uBlyIufk2LUhAwjny4w,0.46
97,98,Sorry Not Sorry,Demi Lovato,5939764,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P,47,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.7020000000000001,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.28300000000000003,-6.917000000000001,0,0.265,144.004,4,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873
98,99,Jocelyn Flores,XXXTENTACION,5922359,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,48,0.469,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,0.872,119133,0.391,7m9OqQk4RVRkw9JJdeAw96,4.13e-06,0,0.297,-9.144,0,0.242,134.02100000000002,4,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,audio_features,spotify:track:7m9OqQk4RVRkw9JJdeAw96,0.43700000000000006
99,100,Naked,James Arthur,5805318,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl,49,0.10400000000000001,https://api.spotify.com/v1/audio-analysis/7krbSH3rd8lhIZvuzTV3Bl,0.529,234107,0.607,7krbSH3rd8lhIZvuzTV3Bl,0.0,6,0.0631,-6.781000000000001,1,0.0574,101.96600000000001,4,https://api.spotify.com/v1/tracks/7krbSH3rd8lhIZvuzTV3Bl,audio_features,spotify:track:7krbSH3rd8lhIZvuzTV3Bl,0.23800000000000002
100,101,Location,Khalid,5795699,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,0,0.33,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,0.736,219080,0.449,152lZdxL1OR0ZMW6KquMif,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif,audio_features,spotify:track:152lZdxL1OR0ZMW6KquMif,0.326
101,102,Stargazing,Kygo,5791251,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP,1,0.152,https://api.spotify.com/v1/audio-analysis/0Zbbxnx4SGGHoIow4PpISP,0.677,236853,0.49700000000000005,0Zbbxnx4SGGHoIow4PpISP,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,https://api.spotify.com/v1/tracks/0Zbbxnx4SGGHoIow4PpISP,audio_features,spotify:track:0Zbbxnx4SGGHoIow4PpISP,0.419
102,103,Bodak Yellow,Cardi B,5691606,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2,0.0672,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,0.929,223962,0.723,2771LMNxwf62FTAdpJMQfM,0.0,11,0.34600000000000003,-5.792000000000001,0,0.109,125.022,4,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,audio_features,spotify:track:2771LMNxwf62FTAdpJMQfM,0.45799999999999996
103,104,More Than You Know,Axwell /\ Ingrosso,5636493,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44,3,0.0262,https://api.spotify.com/v1/audio-analysis/6h5PAsRni4IRlxWr6uDPTP,0.642,203000,0.728,6h5PAsRni4IRlxWr6uDPTP,0.0,5,0.295,-4.971,0,0.0349,123.068,4,https://api.spotify.com/v1/tracks/6h5PAsRni4IRlxWr6uDPTP,audio_features,spotify:track:6h5PAsRni4IRlxWr6uDPTP,0.493
104,105,Walk It Talk It,Migos,5606805,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP,4,0.0739,https://api.spotify.com/v1/audio-analysis/6n4U3TlzUGhdSFbUUhTvLP,0.909,276147,0.628,6n4U3TlzUGhdSFbUUhTvLP,0.0,2,0.10800000000000001,-5.456,1,0.201,145.905,4,https://api.spotify.com/v1/tracks/6n4U3TlzUGhdSFbUUhTvLP,audio_features,spotify:track:6n4U3TlzUGhdSFbUUhTvLP,0.406
105,106,Lonely Together (feat. Rita Ora),Avicii,5603365,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,5,0.17600000000000002,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,0.65,181812,0.6829999999999999,75NhhYjHO43mvZgYtnXgti,2.8199999999999998e-05,5,0.0832,-5.284,1,0.0704,102.96799999999999,4,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,audio_features,spotify:track:75NhhYjHO43mvZgYtnXgti,0.228
106,107,Esperándote,Manuel Turizo,5504452,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj,6,0.425,https://api.spotify.com/v1/audio-analysis/1nfyE13arjOuO54HH0zmqj,0.6970000000000001,199813,0.648,1nfyE13arjOuO54HH0zmqj,0.0,7,0.191,-7.122999999999999,1,0.128,186.125,4,https://api.spotify.com/v1/tracks/1nfyE13arjOuO54HH0zmqj,audio_features,spotify:track:1nfyE13arjOuO54HH0zmqj,0.313
107,108,Déjate Llevar,Juan Magán,5412555,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,7,0.0212,https://api.spotify.com/v1/audio-analysis/4hXAdUl4nAnSPc9thzP2E2,0.687,233072,0.718,4hXAdUl4nAnSPc9thzP2E2,0.0,7,0.685,-5.582999999999999,1,0.0721,92.059,4,https://api.spotify.com/v1/tracks/4hXAdUl4nAnSPc9thzP2E2,audio_features,spotify:track:4hXAdUl4nAnSPc9thzP2E2,0.5329999999999999
108,109,Breathe,Jax Jones,5408583,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n,8,0.0259,https://api.spotify.com/v1/audio-analysis/0KsB4TwgATg88aXCMBoO3Y,0.741,207630,0.728,0KsB4TwgATg88aXCMBoO3Y,0.00025,11,0.14,-5.559,0,0.0408,125.984,4,https://api.spotify.com/v1/tracks/0KsB4TwgATg88aXCMBoO3Y,audio_features,spotify:track:0KsB4TwgATg88aXCMBoO3Y,0.703
109,110,goosebumps,Travis Scott,5378614,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,9,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,0.0484,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
110,111,Black Panther,Kendrick Lamar,5374935,https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof,10,0.62,https://api.spotify.com/v1/audio-analysis/5qN4HFkapdAOV94XPryVof,0.45899999999999996,130613,0.5870000000000001,5qN4HFkapdAOV94XPryVof,2.23e-06,1,0.268,-9.391,1,0.43200000000000005,90.796,4,https://api.spotify.com/v1/tracks/5qN4HFkapdAOV94XPryVof,audio_features,spotify:track:5qN4HFkapdAOV94XPryVof,0.441
111,112,New Freezer (feat. Kendrick Lamar),Rich The Kid,5351472,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA,11,0.0424,https://api.spotify.com/v1/audio-analysis/4pYZLpX23Vx8rwDpJCpPTA,0.888,193173,0.664,4pYZLpX23Vx8rwDpJCpPTA,0.0,0,0.0734,-10.13,1,0.341,140.012,4,https://api.spotify.com/v1/tracks/4pYZLpX23Vx8rwDpJCpPTA,audio_features,spotify:track:4pYZLpX23Vx8rwDpJCpPTA,0.53
112,113,Báilame - Remix,Nacho,5305404,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr,12,0.23800000000000002,https://api.spotify.com/v1/audio-analysis/4ocmZDCb43B5WRYMKZSxhM,0.652,217080,0.862,4ocmZDCb43B5WRYMKZSxhM,2.93e-06,6,0.0718,-4.234,1,0.102,191.885,4,https://api.spotify.com/v1/tracks/4ocmZDCb43B5WRYMKZSxhM,audio_features,spotify:track:4ocmZDCb43B5WRYMKZSxhM,0.715
